flight_id,flight_number,callsign,airline,airline_iata,airline_icao,aircraft_model,aircraft_code,registration,status,status_category,scheduled,estimated,origin_airport,origin_iata,origin_icao,origin_city,origin_country,destination_airport,destination_iata,flight_type,data_airport,data_timestamp,baggage_claim,terminal,gate,destination_icao,destination_city,destination_country
,AF1196,AFR1196,Air France,AF,AFR,Airbus A321-111,A321,F-GMZD,Scheduled,scheduled,1756225200,,Paris Charles de Gaulle Airport,CDG,LFPG,Paris,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276399,,2,,,,
3be9cc24,SV379,SVA379,Saudia (The Red Sea Stickers),SV,SVA,Boeing 787-10 Dreamliner,B78X,HZ-AR33,Estimated 17:17,estimated,1756226100,1756225024.0,Jeddah King Abdulaziz International Airport,JED,OEJN,Jeddah,Saudi Arabia,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276419,,2,,,,
,3O386,MAC386K,SmartLynx,6Y,ART,Airbus A320-214,A320,9H-SLH,Scheduled,scheduled,1756227000,,Malaga Costa Del Sol Airport,AGP,LEMG,Malaga,Spain,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276440,,2,,,,
,HMJ78,HMJ078,Harmony Jets,,HMJ,Dassault Falcon 900,F900,9H-GRS,Scheduled,scheduled,1756227240,,Paris Le Bourget Airport,LBG,LFPB,Paris,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276462,,,,,,
3be9d9b3,SV375,SVA375,Saudia,SV,SVA,Boeing 787-9 Dreamliner,B789,HZ-ARA,Estimated 17:57,estimated,1756229700,1756227456.0,Riyadh King Khalid International Airport,RUH,OERK,Riyadh,Saudi Arabia,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276483,,2,,,,
3be9e770,XY663,KNE663,flynas,XY,KNE,Airbus A330-343,A333,HZ-NE25,Estimated 17:59,estimated,1756230000,1756227584.0,Jeddah King Abdulaziz International Airport,JED,OEJN,Jeddah,Saudi Arabia,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276505,,2,,,,
,QR1396,QTR91F,Qatar Airways,QR,QTR,Airbus A350-941,A359,A7-ALJ,Scheduled,scheduled,1756231500,,Marrakesh Menara Airport,RAK,GMMX,Marrakesh,Morocco,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276550,,1,,,,
,AT765,RAM765B,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-ROT,Scheduled,scheduled,1756233300,,Paris Orly Airport,ORY,LFPO,Paris,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276574,,2,,,,
,AT8757,RAM8757,Royal Air Maroc,AT,RAM,Boeing 737 MAX 8,B38M,CN-MAY,Scheduled,scheduled,1756234080,,Paris Orly Airport,ORY,LFPO,Paris,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276596,,,,,,
,AT412,,Royal Air Maroc,AT,RAM,,AT7,,Scheduled,scheduled,1756234200,,Marrakesh Menara Airport,RAK,GMMX,Marrakesh,Morocco,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276618,,2,,,,
,AT931,RAM931G,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-ROP,Scheduled,scheduled,1756234200,,Geneva International Airport,GVA,LSGG,Geneva,Switzerland,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276638,,2,,,,
,AT803,RAM803,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-RGM,Scheduled,scheduled,1756234500,,London Gatwick Airport,LGW,EGKK,London,United Kingdom,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276666,,2,,,,
,AT941,RAM941J,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-ROZ,Scheduled,scheduled,1756234800,,Rome Leonardo da Vinci Fiumicino Airport,FCO,LIRF,Rome,Italy,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276687,,2,,,,
,AT983,RAM983,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-RGN,Scheduled,scheduled,1756235100,,Lisbon Humberto Delgado Airport,LIS,LPPT,Lisbon,Portugal,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276717,,2,,,,
3bea36a3,AT249,RAM249,Hi Fly,5K,HFY,Airbus A330-202,A332,9H-HFH,Estimated 20:16,estimated,1756235400,1756235776.0,Jeddah King Abdulaziz International Airport,JED,OEJN,Jeddah,Saudi Arabia,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276738,,2,,,,
,AT953,RAM953Q,Royal Air Maroc,AT,RAM,Boeing 737-85P,B738,CN-ROH,Scheduled,scheduled,1756235400,,Bologna Guglielmo Marconi Airport,BLQ,LIPE,Bologna,Italy,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276760,,2,,,,
,AT951,RAM951X,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-ROA,Scheduled,scheduled,1756235700,,Milan Malpensa Airport,MXP,LIMC,Milan,Italy,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276783,,2,,,,
,3O478,MAC478,Air Arabia,G9,ABY,Airbus A320-214,A320,CN-NMI,Scheduled,scheduled,1756235700,,Pisa Galileo Galilei Airport,PSA,LIRP,Pisa,Italy,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276806,,2,,,,
3bea0202,AT247,RAM247,Royal Air Maroc,AT,RAM,Boeing 787-8 Dreamliner,B788,CN-RGC,Estimated 19:57,estimated,1756236000,1756234624.0,Dubai International Airport,DXB,OMDB,Dubai,United Arab Emirates,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276831,,,,,,
,AT438,,Royal Air Maroc,AT,RAM,,AT7,,Scheduled,scheduled,1756236600,,Agadir Al Massira Airport,AGA,GMAD,Agadir,Morocco,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276854,,2,,,,
,AT811,RAM811D,Royal Air Maroc,AT,RAM,Boeing 737 MAX 8,B38M,CN-RHD,Scheduled,scheduled,1756236900,,Frankfurt Airport,FRA,EDDF,Frankfurt,Germany,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276874,,2,,,,
,AT851,RAM851W,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-RNU,Scheduled,scheduled,1756236900,,Amsterdam Schiphol Airport,AMS,EHAM,Amsterdam,Netherlands,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276901,,2,,,,
,AT789,RAM789H,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-ROB,Scheduled,scheduled,1756237200,,Paris Charles de Gaulle Airport,CDG,LFPG,Paris,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276922,,2,,,,
,L6114,,Mauritania Airlines,L6,MAI,,738,,Scheduled,scheduled,1756237200,,Nouakchott Oumtounsy International Airport,NKC,GQNO,Nouakchott,Mauritania,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276942,,2,,,,
,AT1403,,Royal Air Maroc,AT,RAM,,AT7,,Scheduled,scheduled,1756237800,,Oujda Angads Airport,OUD,GMFO,Oujda,Morocco,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276970,,2,,,,
,AT833,RAM833B,Royal Air Maroc,AT,RAM,Boeing 737-85P,B738,CN-ROJ,Scheduled,scheduled,1756238100,,Brussels Airport,BRU,EBBR,Brussels,Belgium,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.276994,,2,,,,
,AT969,RAM969C,Royal Air Maroc,AT,RAM,Embraer E190AR,E190,CN-RGR,Scheduled,scheduled,1756238100,,Valencia Airport,VLC,LEVC,Valencia,Spain,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277015,,2,,,,
,AF1496,AFR1496,Air France,AF,AFR,Airbus A320-214,A320,F-HEPD,Scheduled,scheduled,1756238400,,Paris Charles de Gaulle Airport,CDG,LFPG,Paris,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277042,,2,,,,
,AT971,RAM971H,Royal Air Maroc,AT,RAM,Boeing 737-86N,B738,CN-RGH,Scheduled,scheduled,1756238400,,Madrid Barajas Airport,MAD,LEMD,Madrid,Spain,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277065,,2,,,,
,AT797,RAM797L,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-RNZ,Scheduled,scheduled,1756239000,,Toulouse Blagnac Airport,TLS,LFBO,Toulouse,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277089,,2,,,,
,AT911,RAM911T,Royal Air Maroc (Oneworld Livery),AT,RAM,Boeing 787-8 Dreamliner,B788,CN-RGB,Scheduled,scheduled,1756239000,,Istanbul Airport,IST,LTFM,Istanbul,Turkey,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277110,,2,,,,
3be93f54,AT231,RAM231,Royal Air Maroc,AT,RAM,Boeing 787-9 Dreamliner,B789,CN-RAM,Estimated 20:54,estimated,1756239300,1756238080.0,Beijing Daxing International Airport,PKX,ZBAD,Beijing,China,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277130,,2,,,,
,AT573,,Royal Air Maroc,AT,RAM,,73H,,Scheduled,scheduled,1756239300,,Tunis Carthage International Airport,TUN,DTTA,Tunis,Tunisia,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277154,,2,,,,
,AT733,RAM733M,Royal Air Maroc,AT,RAM,Boeing 737-8B6,B738,CN-RGK,Scheduled,scheduled,1756239600,,Marseille Provence Airport,MRS,LFML,Marseille,France,Mohammed V (CMN),CMN,arrival,CMN,2025-08-26T13:57:28.277176,,2,,,,
